German;English
Gute Besserung!;Get well soon!
der Hausarzt -e;the family doctor/general practitioner
die Hausärztin, -nen;the family doctor (female)
der Zahnarzt, -e;the dentist
die Zahnärztin, -nen;the dentist (female)
die Sprechzeiten, Pl;the office hours/consultation hours
nach Vereinbarung;by appointment
die Zahnschmerzen, Pl;toothache
die Halsschmerzen Pl;sore throat
die Bauchschmerzen, Pl;stomach ache
die Rückenschmerzen. Pl;back pain
(A) Ein Besuch beim Arzt;A visit to the doctor
die Praxis, Praxen;the medical practice, practices
am Apparat;on the phone
am nächsten Montag;next Monday
sagen;to say/tell
der Kopf, -e;the head
das Auge, -n;the eye
die Nase, -n;the nose
der Mund, -er;the mouth
das Ohr, -en;the ear
der Hals, -e;the neck/throat
das Bein, -e;the leg
der Fuß, -e der;the foot, the
-e der Finger, -;the finger
der Rüicken, -;(likely typo) the back (Rücken)
der Bauch. -e;the stomach/belly
Was fehlt Ihnen?;What's wrong with you? (formal)
erkaltet sein;(likely typo) to have a cold (erkältet sein)
der Schnupfen, Sg;the cold/runny nose (singular)
der Husten, Sg;the cough (singular)
wehitun;(likely typo) to hurt (wehtun)
das Fieber, Sg;the fever (singular)
ulmachen;(likely typo) to make/turn on (anmachen)
die Erkältung, -en;the cold (illness)
die Grippe, -n;the flu
die Kontrolle, -n;the check/control
die Tablette, -n;the pill/tablet
sollen;should/ought to
(B) Gesundheit in Deutschland;Health in Germany
die Gesundheit, Sg;the health (singular)
die Krankenkasse, -n;the health insurance fund
regelmäßig;regular
die Zahnkontrolle -n;the dental check-up
das Bonusheft, -e;the bonus booklet
die Gesundheitskarte, -n;the health insurance card
die Krankschreibung -en;the sick note
der/die Arbeitgeber/in, -/-nen;the employer (male/female)
das Medikament, -e;the medication
geben;to give
das Rezept -e;the recipe/prescription
die Apotheke, -n;the pharmacy
(C) Mein Kind ist krank;My child is sick
krank;sick/ill
sofort;immediately
Fieber messen;to measure fever
die Entschuldigung, -en;the apology/excuse
Sehr geehrte Frau, Sehr geehrter Herr;Dear Mrs., Dear Mr.
Mit freundlichen Grüßen;Yours sincerely
der Unterricht Sg;the lesson/class (singular)
(D) Im Krankenhaus;In the hospital
untersuchen;to examine
operieren;to operate
es geht mir besser;I'm feeling better
(E) 112 — Der Notruf;112 — The emergency call
der Notruf, -e;the emergency call
der Notfall, -e;the emergency
der Notarzt, -e;the emergency doctor
der Unfall, -e;the accident
Was ist passiert?;What happened?
verletzt sein;to be injured
dringend;urgent
die Minute, -n;the minute
die Ecke, -n;the corner
das Feuer, Sg;the fire (singular)
die Feuerwehr, -en;the fire department
der Krankenwagen, -;the ambulance
