German;English
was sie gesagt haben;what they said
Kleben Sie Zettel an die Möbel in Ihrer Wohnung;stick notes on the furniture in your apartment
selbst;self, yourself
bestimmten Thema;specific topic
mit anderen Leuten in Kontakt;in contact with other people
neue Wörter auf Karteikarten;new words on flashcards
für Grammatikregeln geeignete Merksätze;mnemonic sentences suitable for grammar rules
beim Laufen oder beim Sport;while running or during sports
am besten in ganzen Sätzen;best in complete sentences
hören Sie die Sätze ab;listen to the sentences (and repeat them)
So bleiben Sie fit;that way you stay fit
laut mit Ihrem Spiegelbild;aloud with your mirror image
Lernen Sie feste Wortverbindungen;learn fixed word combinations / collocations
Betrachten;observe, view
Umgebung;surroundings, environment
überlegen;to consider, to think about
heißen die Dinge;are the things called
