German;English
Wir möchten gerne bezahlen;We would like to pay
Zusammen oder getrennt;Together or separately
Wo möchten Sie gerne sitzen;Where would you like to sit
Drinnen oder draußen;Inside or outside
Als Nachspeise;For dessert
Obstsalat mit Eis und Sahne;Fruit salad with ice cream and whipped cream
Isst du lieber den Sauerbraten;Do you prefer the Sauerbraten
Hähnchen mit Reis und Gemüse;Chicken with rice and vegetables
Wie viel macht das;How much is that
Das sind dann zusammen;That comes to a total of
