German;English
das Lehrerzimmer;the teachers' lounge, staff room
der Schulhof;the schoolyard
das Hausaufgabenheft;the homework notebook
der Schulbus;the school bus
der Hausmeister;the caretaker, janitor
der Chemieraum;the chemistry room
der Schulchor;the school choir
der Sportplatz;the sports field, playing field
die Brotdose;the lunch box
der Computerraum;the computer room
die Klassenarbeit;the class test, written exam
der Schreibblock;the writing pad, notepad
die Schere;the scissors
das Sekretariat;the school office, secretary's office
der Klassenraum;the classroom
die Schulkantine;the school cafeteria
der Kunstunterricht;the art lesson
die Schultüte;the school cone (traditional gift for first graders)
die Klassenfahrt;the class trip, school trip
der Turnbeutel;the gym bag, sports bag
der Schulranzen;the school backpack, school bag
das Federmäppchen;the pencil case
der Schuldirektor;the school principal
die Schülerlotsen;the school crossing guards, student traffic patrols
