German;English
Die Person räumt gerne auf;the person likes to tidy up
putzt auch gerne;also likes to clean
macht immer alles sauber;always cleans everything
eine Werkstatt und arbeitet gern mit Holz;a workshop and likes to work with wood
viele Ideen und arbeitet selbstständig;many ideas and works independently
sehr müde;very tired
braucht Schlaf und Ruhe;needs sleep and rest
überall;everywhere
egal ob im Büro, am Strand oder zu Hause;whether in the office, at the beach or at home
immer alles wissen;to always know everything
Er fragt viel und hört zu, wenn andere sprechen;He asks a lot and listens when others speak
