German;English
brauchen;to need
immer etwas;always something
auch gern;also gladly
für mich;for me
Früher habe eingekauft;I used to shop
Spaß;fun
hat gemacht;made, did
keine Zeit mehr;no more time
jetzt;now
meistens;mostly, usually
nur Kleidung;only clothes
für die Kinder;for the children
Schlussverkauf;end-of-season sale
in die Kaufhäuser;to the department stores
nicht so teuer;not so expensive
so viel Geld ausgeben;to spend so much money
nicht gerne;not gladly, not willingly
neue Kleidung;new clothes
soll mitkommen;should come along
rumlaufen;to walk around
Boutiquen;boutiques
ganz furchtbar;totally awful
schrecklich;terrible
immer etwas Interessantes;always something interesting
es ist günstig;it is inexpensive
Kaufhäuser;department stores
Wir schauen nur;We are just looking
auch etwas an;also something on / also something at
Das macht Spaß;That's fun
