German;English
Schach spielen;to play chess
gemeinsam singen;to sing together
zusammen Gymnastik machen;to do gymnastics together
Kunst ansehen;to look at art
wandern gehen;to go hiking
Fußball spielen;to play soccer
gemeinsam trainieren;to train together
segeln gehen;to go sailing
zusammen lesen;to read together
über Literatur reden;to talk about literature
Tauben züchten;to breed pigeons
Menschen in schwierigen Situationen helfen;to help people in difficult situations
Tieren helfen;to help animals
die Umwelt schützen;to protect the environment
im eigenen Garten arbeiten;to work in one's own garden
zusammen rudern;to row together
angeln;to fish
sich verkleiden;to dress up
zusammen feiern;to celebrate together
malen;to paint
