German;English
Ich wollte früher Pilotin werden;I wanted to become a pilot earlier
weil ich Flugzeuge und Technik mag;because I like airplanes and technology
meine Augen waren nicht gut genug;my eyes were not good enough
deshalb durfte ich nicht Pilotin werden;therefore I was not allowed to become a pilot
sehr zufrieden;very satisfied
Ich wollte gerne Erzieher werden;I wanted to become an educator
haben gesagt;they said
dass man als Erzieher nicht so viel Geld verdient;that as an educator you don't earn that much money
Ausbildung als Krankengymnast gemacht;did training as a physiotherapist
eigene Praxis;own practice
Arbeit macht mir Spaß;I enjoy my work
verdiene auch nicht schlecht;I also earn not badly
