German;English
Buchhalterin;accountant (female)
nutzen oft;often use
mit vielen verschiedenen Programmen;with many different programs
Freizeit;free time, leisure time
ich selten ins Internet;I rarely go online
da habe ich in der Freizeit keine Lust mehr;so I don't feel like it in my free time anymore
ich rufe sie an oder wir treffen uns;I call them or we meet up
Ich möchte auch nicht immer erreichbar sein;I don't want to be always reachable either
Ich brauche auch meine Ruhe;I also need my peace and quiet
Ich gehe lieber;I prefer to go
auch lieber auf Papier;also prefer on paper
gemütlich mit einer Tasse Kaffee;cozily with a cup of coffee
meiner Freizeit nur selten;in my free time only rarely
