German,English
die Reise, -n.,the trip/journey.
der Berg, -e.,the mountain.
der Bauernhof, -e.,the farm.
der Wald, -er.,the forest.
die Wiese, -n.,the meadow.
das Meer, -e.,the sea/ocean.
der See -n.,the lake.
der Strand, -e.,the beach.
wandern.,to hike.
auf dem Land.,in the country.
(A) Unterwegs mit dem Zug.,Traveling by train.
die Abfahrt.,the departure.
die Ankunft.,the arrival.
die Reservierung, -en.,the reservation.
die Erste/Zweite Klasse.,first/second class.
abfahren.,to depart.
ankommen.,to arrive.
das Gleis. -e.,the track/platform.
die Verspätung -en.,the delay.
die Landschaft, -en.,the landscape/scenery.
fantastisch.,fantastic.
die Brücke, -n.,the bridge.
ungefähr.,approximately/about.
der Kilometer, -.,the kilometer.
übernachten.,to stay overnight.
zurückkommen.,to come back.
durch.,through.
um.,around/at.
das Wetter, Sg.,the weather (singular).
die Sonne, Sg.,the sun (singular).
Die Sonne scheint.,The sun is shining.
heiß.,hot.
sonnig.,sunny.
der Regen, Sg.,the rain (singular).
regnen.,to rain.
nass.,wet.
der Wind, -e.,the wind.
windig.,windy.
die Wolke, -n.,the cloud.
bewölkt.,cloudy.
der Schnee Sg.,the snow (singular).
schneien.,to snow.
der Norden, Sg.,the north (singular).
der Osten, Sg.,the east (singular).
der Süden, Sg.,the south (singular).
der Westen, Sg.,the west (singular).
20° (Grad) Celsius.,20 degrees Celsius.
genauso ... wie.,just as ... as.
(C) Die Jahreszeiten.,The seasons.
die Jahreszeit, -en.,the season.
der Frühling.,the spring.
der Sommer.,the summer.
der Herbst.,the autumn/fall.
der Winter.,the winter.
der Monat, -e.,the month.
der Februar.,February.
der März.,March.
der April.,April.
der Mai.,May.
der Juni.,June.
der Juli.,July.
der August.,August.
der September.,September.
der Oktober.,October.
der Dezember.,December.
(D) Urlaub.,Vacation.
das Tier, -e.,the animal.
der Campingplatz, -e.,the campsite.
die Stadtrundfahrt, -en.,the city tour.
preiswert.,good value/affordable.
das Hotel, -s.,the hotel.
