German;English
organisieren;to organize
sich engagieren;to get involved, to commit oneself
sich beraten lassen;to get advice, to consult
der Verein;the club, association
die Veranstaltung;the event
das Mitglied;the member
der Mitgliedsbeitrag;the membership fee
freiwillig;voluntary
ehrenamtlich;voluntary, honorary, unpaid
unterschiedlich;different, varying
die Autoanmeldung;the car registration
das Gewerbeamt;the trade office, business registration office
die Stadtverwaltung;the city administration
