German;English
vierte Klasse;fourth grade
gute Noten;good grades
nur in Mathematik muss er besser werden;he only needs to get better in mathematics
Was soll er später einmal machen;What should he do later in life
das wissen wir noch nicht;we don't know that yet
das muss er entscheiden;he has to decide that
möchte Arzt werden;would like to become a doctor
Universität studieren;to study at university
Das Studium dauert auch sehr lange;studying also takes a very long time
sehr gut Geld verdienen;to earn very good money
