German;English
die Geschichte, Sg.;the story/history (singular)
sauber;clean
schmutzig;dirty
hektisch;hectic
eigentlich;actually/really
(A) Zuwanderer in Deutschland;Immigrants in Germany
der/die Zuwanderer/in,-/-nen;the immigrant (male/female)
die Welt, Sg.;the world (singular)
der Grund, -e;the reason/ground, reasons
unterschiedlich;different/varied
erzählen;to tell/narrate
kennenlernen;to get to know/meet
auftgeben;(likely typo) to give up (aufgeben)
verlassen;to leave/abandon
verlieren;to lose
erleben;to experience
motivieren;to motivate
schlimm;bad/terrible
enttäuscht;disappointed
genervt;annoyed/irritated
endlich;finally/at last
das Abitur, Sg.;the high school diploma/A-levels (singular)
der/die Architekt/in,-en/-nen;the architect (male/female)
der/die Abteilungsleiter/in,-/-nen;the department head/manager (male/female)
die Teilzeitarbeit, Sg.;the part-time work (singular)
das Flüchtlingsheim, -e;the refugee shelter/home, shelters
(B) Wie haben Sie das geschafft?;How did you manage/achieve that?
schaffen;to manage/achieve/create
die Universität, -en;the university, universities
das Studium, Sg.;the studies/study program (singular)
jung;young
der Anfang, -e;the beginning/start, beginnings
depressiv;depressive/depressed
aktiv;active
der Verein, -e;the club/association, clubs
schwierig;difficult
(C) Sprachen lernen;Learning languages
vorsprechen;to audition/speak beforehand
nachsprechen;to repeat after/echo
zuöhören;(likely typo) to listen (zuhören)
ausprobieren;to try out/test
das Wort, -er;the word, words
der Satz, -e;the sentence, sentences
neue Wörter behalten;to retain/remember new words
auswendig lernen;to learn by heart/memorize
schriftlich;written/in writing
die Übung, -en;the exercise/practice, exercises
üben;to practice/exercise
der Fehler, -;the mistake/error, errors
die Aussprache, Sg;the pronunciation (singular)
unbedingt;absolutely/definitely
lustig;funny/amusing
Mut haben;to have courage/be brave
Angst haben;to be afraid/have fear
