German,English
Fußball spielen.,to play soccer.
joggen.,to jog.
ein Bild malen.,to paint a picture.
tanzen.,to dance.
im Internet surfen.,to surf the internet.
gritten.,(likely typo) possibly "gärtnern" (to garden) or "grillen" (to barbecue).
Musik hören.,to listen to music.
schwimmen.,to swim.
das Hobby, -s.,(likely typo "Hoble") the hobby, hobbies.
(nicht) gern, gerne.,(not) gladly/with pleasure.
(A) Wie spät Ist es?,What time is it?
spät.,late.
Wie spät ist es?,What time is it?
halb.,half (time).
Viertel vor.,quarter to.
Viertel nach.,quarter past.
um.,at (time).
beginnen.,to begin.
Um wie viel Uhr?,At what time?
enden.,to end.
gehen.,to go.
von...bis.,from...to.
Der Kurs geht von.,The course goes from.
neun bis zwölf.,(likely typo "zwfflf") nine to twelve.
die Pause, -n.,(likely typo "Paus") the break, breaks.
der Zug, -e.,(likely typo "Zu") the train, trains.
der Radiowecker, -.,(likely typo "-r") the radio alarm clock, radio alarm clocks.
klingeln.,to ring.
das Flugzeug, -e.,(likely typo "Fluzeug") the airplane, airplanes.
der Krimi, -s.,the crime novel/detective story, detective stories.
(B) Was macht Frau Costa am Samstag?,What does Mrs. Costa do on Saturday?
anrufen.,to call.
das Kino, -s.,the cinema/movie theater, cinemas.
anfangen.,(likely typo "aufangen") to begin/start.
anhören.,(likely typo "anhören") to listen to.
aufstehen.,to get up.
aufräumen.,to tidy up.
einkaufen.,(likely typo "einikaufen") to shop.
mitnehmen.,to take along.
die Zeitung, -en.,the newspaper, newspapers.
fernsehen.,to watch TV.
ausgehen.,to go out.
wegfahren.,to drive away.
mitkommen.,to come along.
stattfinden.,to take place.
ausfallen.,(likely typo "ausfalllen") to be canceled/fail.
einkaufen gehen.,to go shopping.
spazieren gehen.,to go for a walk.
jeden Tag.,every day.
der Ausflug, -e.,the excursion, excursions.
heute.,today.
(C) Meine Woche.,My week.
die Woche, -n.,the week, weeks.
der Montag, -e.,(likely missing comma) the Monday, Mondays.
der Dienstag, -e.,the Tuesday, Tuesdays.
der Mittwoch, -e.,(likely missing comma) the Wednesday, Wednesdays.
der Donnerstag, -e.,(likely typo "Dnnnersag") the Thursday, Thursdays.
der Freitag, -e.,the Friday, Fridays.
der Samstag, -e.,the Saturday, Saturdays.
der Sonntag, -e.,the Sunday, Sundays.
die Hausaufgabe, -n.,(likely typo "Hmaufgabe") the homework, homework assignments.
das Fahrrad, -er.,the bicycle, bicycles.
reparieren.,to repair.
am Morgen.,in the morning.
am Vormittag.,(likely typo "Vermittag") in the morning (before noon).
am Mittag.,at noon.
am Nachmittag.,in the afternoon.
am Abend.,in the evening.
in der Nacht.,at night.
die Fahrkarte, -n.,the ticket, tickets.
der Dienstagabend, -e.,the Tuesday evening, Tuesday evenings.
(D) Hast du Zeit?,Do you have time?
Schach spielen.,(likely typo "Schech") to play chess.
vielleicht.,maybe/perhaps.
Lust haben.,to feel like/want to.
Zeit haben.,to have time.
später.,later.
leiden.,(likely typo/out of context) to suffer (probably should be "leider" = unfortunately).
kochen.,to cook.
