German;English
der Polizist;the police officer
der Gepäckfahrer;the baggage driver
der Busfahrer;the bus driver
die Kellnerin;the waitress
der Taxifahrer;the taxi driver
der Pilot;the pilot
die Reinigungskraft;the cleaning staff, cleaner
der Fluglotse;the air traffic controller
die Flugbegleiterin;the flight attendant (female)
auf dem Flughafen;at the airport
das Bodenpersonal;the ground staff
die Mitarbeiter am Check-in-Schalter;the employees at the check-in counter
die Mitarbeiter bei der Sicherheitskontrolle;the employees at security control
