German;English
was man sonst noch so machen kann;what else one can do
Anruferin;female caller
Bei schweren Krankheiten;with serious illnesses
Leben retten;to save lives
Wenn zum Beispiel;if for example
nicht sofort Medikamente, auch keine Nasentropfen;not immediately medication, not even nose drops
eine heiße Hühnersuppe;hot chicken soup
viel gesünder als die Medikamente;much healthier than the medication
Guten Tag zu unserem Anrufer;Hello to our caller
Wenn es nicht mehr als 38 Grad sind;if it's no more than 38 degrees
einen heißen Tee;hot tea
viel Ruhe;plenty of rest
meistens schlafen sie viel;most of the time they sleep a lot
Wenn es nach zwei Tagen nicht besser ist;if it's not better after two days
Aber bis jetzt war das noch nicht nötig;but so far that hasn't been necessary
dann immer schon wieder zurückgegangen;then it has always gone back down again
