German;English
das Fitnesscenter;the fitness center
der Gesundheits-Check;the health check-up
die Vorsorgeuntersuchung;the preventive medical check-up
der Beipackzettel;the package leaflet
die Nebenwirkungen;the side effects
die Hausapotheke;the home medicine cabinet
die Tablette;the tablet, pill
die Schere;the scissors
die Salbe;the ointment, cream
die Spritze;the injection, syringe
die Milchprodukte;the dairy products
die Getreideprodukte;the cereal products, grain products
die Süßigkeiten;the sweets, candy
