German;English
die wichtigsten Regeln;the most important rules
wenn man ein gesundes Leben führen möchte;if you want to lead a healthy life
nicht gut für die Gesundheit;not good for your health
Quatsch;nonsense
Der Körper braucht außerdem genug Vitamine;the body also needs enough vitamins
Deshalb sollten Sie viel Obst und Gemüse essen;therefore you should eat plenty of fruit and vegetables
aber nicht zu fett sein;but not be too fatty
Aber ob man Fleisch oder Fisch oder Milchprodukte isst;but whether you eat meat or fish or dairy products
das ist doch egal;that doesn't matter at all
viel Stress;a lot of stress
So bleibe ich fit;that's how I stay fit
das Leben ist hektisch;life is hectic
Deshalb lebe ich lieber auf dem Land;that's why I prefer to live in the countryside
Hier ist es ruhig;here it's quiet
die Luft ist gesund;the air is healthy
Dann bleibt auch der Körper gesund;then the body stays healthy too

