German;English
die Kerze, -n;candle
das Feuerwerk, -e;fireworks
das Geschenk, -e;gift, present
das Pferd, -e;horse
die Rakete, -n;rocket
das Bleigießen;lead pouring (New Year's Eve tradition)
der Böller, -;firecracker
das Kostüm, -e;costume
das Konfetti;confetti
die Luftschlangen, Pl.;paper streamers
der Umzug, -e;parade, procession
das Osterei, -er;Easter egg
der Osterhase, -n;Easter bunny
der Osterzopf, -¨e;Easter braided bread
der Osterstrauß, -¨e;Easter bouquet
der Sankt Martin;St. Martin's Day
die Laterne, -n;lantern
der Laternenumzug, -e;lantern procession
der Nikolaus, -;St. Nicholas
der Stiefel, -;boot
die Süßigkeiten, Pl.;sweets, candy
der Weihnachtsbaum, -¨e;Christmas tree
die Weihnachtsgans, -¨e;Christmas goose
der Adventskalender, -;Advent calendar
die Rakete, -n;rocket
das Bleigießen;lead pouring (New Year's Eve tradition)
