German;English
der Vorort;the suburb
die Innenstadt;the city center
außerhalb;outside (of)
zentral;central
die Verkehrsmittel;the means of transport
öffentlich;public
öffentliche Verkehrsmittel;public transport
die Kaution;the deposit, security payment
die Monatsmiete;the monthly rent
die Nebenkosten;the utilities, additional costs
der Nachmieter;the successor tenant, replacement tenant
sympathisch, unsympathisch;pleasant, likeable / unpleasant, disagreeable
freundlich, unfreundlich;friendly / unfriendly
