German;English
Ich habe die Impfung doch schon beim letzten Mal bekommen;I already received the vaccination last time
Ach ja. Dann lasse ich mir einen Termin geben;Oh yes. Then I'll have an appointment given to me
ich möchte nur einmal alles kontrollieren lassen;I just want to have everything checked once
gesundheitliche Beschwerden;health complaints
vernünftig;sensible, reasonable
Bewegen Sie sich regelmäßig;Do you exercise regularly
Die Ergebnisse von der Laboruntersuchung;The results of the laboratory test
Die Blutwerte und Cholesterinwerte;The blood values and cholesterol levels
Sie Ihren Impfpass dabei;Do you have your vaccination record with you
die Impfungen sind fast komplett;the vaccinations are almost complete
nur noch einmal gegen Tetanus impfen;only need to vaccinate against tetanus one more time
das war die Impfung gegen Tuberkulose;that was the vaccination against tuberculosis

