German;English
sich entspannen;to relax
zu Mittag essen;to have lunch
sich bewegen;to move, to exercise
im Garten arbeiten;to work in the garden
zunehmen;to gain weight
Stress haben;to have stress
gemütlich zusammensitzen;to sit together cozily
sich gesund ernähren;to eat healthily
Kollegen im Cafe treffen;to meet colleagues at the cafe
abnehmen;to lose weight
fit sein;to be fit
die Muskeln trainieren;to train the muscles
Sorgen haben;to have worries
im Stau stehen;to be stuck in traffic
Gymnastik machen;to do gymnastics
frühstücken;to have breakfast
joggen gehen;to go jogging
in der Kantine essen;to eat in the cafeteria
Fußball spielen;to play soccer
sich mit Freunden unterhalten;to chat with friends
