German;English
die Physiotherapeutin;the physiotherapist (female)
die Orthopädin;the orthopedist (female)
der Hausarzt;the general practitioner (male)
der Psychotherapeut;the psychotherapist (male)
der Augenarzt;the ophthalmologist (male)
der Empfang;the reception
die Zahnärztin;the dentist (female)
der Ohrenarzt;the ear doctor, otologist (male)
die Internistin;the internist (female)
der Kinderarzt;the pediatrician (male)
die Gynäkologin;the gynecologist (female)
der Radiologe;the radiologist (male)


