German;English
du ziehst ja nächste Woche um;you are moving next week
Das wird sicher viel Stress;that will certainly be a lot of stress
aber zum Glück muss ich nicht alles allein;but luckily I don't have to do everything alone
Aber einige Sachen muss ich trotzdem selbst machen;but I still have to do some things myself
Die Umzugskartons packe;I pack the moving boxes
auch wieder selbst aus;also unpack myself again
räume meine Bücher ins Regal;I put my books into the shelf
die Möbel nicht alleine abbauen;I don't take apart the furniture alone
Außerdem lasse;also I have (something done)
Wie meinst du das;what do you mean by that
ziemlich großen LKW;quite a large truck
keinen Führerschein;no driver's license
Zum Glück hat Mario einen;luckily Mario has one
Das ist super nett von Mario;that is super nice of Mario
können mir nicht bei allen Sachen helfen;cannot help me with all things
die Zimmer lasse ich von einem Maler streichen;I have the rooms painted by a painter
dann lasse ich den Herd von einem Elektriker anschließen;then I have the stove connected by an electrician
nicht selbst machen;not do it myself
es ist zu gefährlich;it's too dangerous
