German;English
Unsere Lehrer;Our teachers
waren ziemlich streng;were quite strict
die Prüfungen waren nicht so schwierig wie heute;the exams were not as difficult as today
leichter einen Abschluss bekommen als die Kinder heute;easier to get a degree than children today
verschiedene Kurse wählen;to choose different courses
Tanzen oder Schach;dancing or chess
Aber wir durften;But we were allowed
wir immer zu Hause machen;we always did at home
Manchmal wollten;Sometimes we wanted
an den Strand gehen und schwimmen;to go to the beach and swim
besonders, wenn es heiß war;especially when it was hot
Das durften wir leider nicht;We were not allowed to do that unfortunately
Aber eigentlich;But actually
konnte ja nichts passieren;nothing could happen after all
Das Meer war immer ruhig;The sea was always calm
