German;English
im Internet recherchieren;to do research on the internet
eine App herunterladen;to download an app
mit einem Musikprogramm arbeiten;to work with a music program
eine Datei löschen;to delete a file
den Computer reparieren;to repair the computer
einen Termin am Tablet eintragen;to enter an appointment on the tablet
ein E-Book lesen;to read an e-book
ein Gerät aufladen;to charge a device
ein Kabel anschließen;to connect a cable
Online-Banking machen;to do online banking
Bilder bearbeiten;to edit images
Computerspiele spielen;to play computer games
einen Text scannen;to scan a text

