German;English
die Chance;the chance, opportunity
die Weiterbildung;the continuing education, advanced training
die Computerkenntnisse;the computer skills
die Arbeitsberaterin;the careers advisor (female)
die Fortbildung;the further training, professional development
die Förderung;the support, promotion, funding
sich interessieren für;to be interested in
sich bewerben um;to apply for
sich freuen auf;to look forward to
sich ärgern über;to be annoyed about
vorbeikommen;to come by, to stop by
sich anmelden;to register, to enroll
teilnehmen;to participate, to take part
anbieten;to offer
