German;English
Bewerbungen;applications
wie war es bei Ihnen;how was it for you
eine Ausbildung als Lkw-Fahrer;training as a truck driver
nicht mehr als Fahrer arbeiten;no longer work as a driver
mich um eine Stelle als Hausmeister bewerben;to apply for a position as a caretaker
noch keine Berufserfahrung;no work experience yet
gut Kleine Dinge reparieren und räume gerne auf;good at repairing small things and like to tidy up
in der Zeitung eine Anzeige gesehen;saw an ad in the newspaper
Vielleicht habe ich ja Glück;maybe I'll be lucky
suche eine Stelle;looking for a job
eine Sprachschule in Bielefeld sucht Lehrer;a language school in Bielefeld is looking for teachers
Wenn ich dort eine Stelle bekomme;if I get a job there
ziehe;move
viel Berufserfahrung;a lot of work experience
nur zwei Praktika gemacht;only done two internships
Ich hoffe;I hope
dass ich auch ohne Berufserfahrung;that I also without work experience
Ihre Stelle gefunden;found your job ad
aber es;but it
macht mir Spaß;I enjoy it
vor einem Jahr durch das Internet gefunden;found it a year ago on the internet
ein Angebot von einer Zeitarbeitsfirma gesehen;saw an offer from a temporary employment agency
In der Stellenanzeige hat gestanden;the job advertisement stated
dass eine Bedingung für die Stelle Berufserfahrung ist;that work experience is a condition for the job
mich trotzdem beworben;applied anyway
