German;English
freue (mich);I'm looking forward
auf die Fußballsaison;to the football season
leider keine Zeit mehr;unfortunately no more time
aber manchmal haben die keine Lust;but sometimes they don't feel like it
Da ist immer was los;there's always something going on there
gewinnen;to win
verlieren;to lose
ärgern uns;we get annoyed
meistens nicht lange;usually not for long
viel gemeinsam erlebt;experienced a lot together
mich immer auf ihn verlassen;I could always rely on him
Letzten Sommer;last summer
getrennt;separated
Das war nicht so einfach für mich;that wasn't so easy for me
