German;English
Von Ort zu Ort;From place to place
Interviews mit Reisenden;Interviews with travelers
Darf ich Sie kurz stören;May I briefly disturb you
gerade mit dem ICE angekommen;just arrived on the ICE (high-speed train)
die Reise gefallen;liked the trip
es war toll;it was great
sehr gefreut;very happy
die Reise geschenkt;the trip given as a gift
eine Stadtrundfahrt gemacht;did a city tour
mit dem Bus und auch mit dem Schiff;by bus and also by boat
bald wieder nach Berlin fahren;travel back to Berlin soon
komme gerade vom Flughafen;I'm just coming from the airport
Geschäftsreise;business trip
Meistens besuche;I mostly visit
meine Verwandten;my relatives
Aber dieses Mal hatte ich zu wenig Zeit;but this time I had too little time
jetzt sehr müde;now very tired
