German;English
der Feiertag, -e;public holiday, day off
Weihnachten;Christmas
das Feuerwerk, -e;fireworks
schenken;to give (as a gift)
sich verkleiden;to dress up, to wear a costume
(A) Einladungen;(A) Invitations
der Geburtstag, -e;birthday
der Hochzeitstag, -e;wedding anniversary
die Hochzeitsfeier, -n;wedding celebration
das Jubiläum, Jubiläen;anniversary (often a milestone)
das Geschenk, -e;gift, present
der Gutschein, -e;gift voucher, coupon
die Kerze, -n;candle
die Kette, -n;chain, necklace
das Geschirr, Sg.;dishes, crockery
die Schachtel Pralinen;box of chocolates
das Parfüm, -s;perfume
der Schmuck, Sg.;jewelry
der Blumenstrauß, -¨e;bouquet of flowers
die Rose, -n;rose
das Handtuch, -¨er;towel
der Koffer, -;suitcase
die Decke, -n;blanket; ceiling; plate
der Ehemann, -¨er;husband
die Ehefrau, -en;wife
normalerweise;normally, usually
(B) Hochzeit;(B) Wedding
die Braut, -¨e;bride
der Bräutigam, -e;groom
das Brautpaar, -;bridal couple
das Brautkleid, -er;wedding dress
tragen;to wear, to carry
der Schleier, -;veil
der Ohrring, -e;earring
eng;tight, narrow
wunderschön;wonderfully beautiful, gorgeous
romantisch;romantic
die Hochzeitstorte, -n;wedding cake
Was für ein/eine/einen ..;What a ...
Reis werfen;to throw rice
Ringe tauschen;to exchange rings
(C) Feiern interkulturell;(C) Intercultural Celebrations
pünktlich;punctual, on time
der/die Gastgeber/in, -/-nen;host
sich unterhalten;to converse, to talk, to entertain oneself
auffallen;to stand out, to be noticeable
dabei sein;to be present, to participate
höflich;polite
vorgestern;the day before yesterday
die Stimmung, Sg.;mood, atmosphere
normal;normal
anziehen;to put on (clothes), to attract
Herzlichen Glückwunsch!;Congratulations!
Alles Gute!;All the best!
Frohe Ostern!;Happy Easter!
Prosit Neujahr!;Happy New Year!
