German;English
bitte noch einmal ins Wartezimmer;please go back to the waiting room
Meine Arzthelferin ruft Sie dann;my medical assistant will call you then
den Blutdruck messen und nimmt Blut ab;measures the blood pressure and takes blood
Das schicken wir dann ins Labor;we will send that to the lab
bitte herein;please come in
die Arzthelferin hat schon die Augen kontrolliert;the medical assistant has already checked your eyes
schon einen Sehtest gemacht;already done an eye test
den Blutdruck gemessen;measured the blood pressure
ist alles in Ordnung;everything is fine
passt noch gut;still fits well
noch das Rezept;also the prescription
