German;English
Freundschaft bedeutet;friendship means
einige Hörer gefragt;asked some listeners
Als erstes;first of all
Ingeborg;Ingeborg (name)
mehr als sechzig Jahren;more than sixty years
viel zusammen erlebt;experienced a lot together
regelmäßig;regularly
immer etwas los;always something going on
Manchmal;sometimes
eine Ausstellung;an exhibition
froh;glad, happy
alles teilen;to share everything
nächster Anrufer;next caller
keine Lust mehr, mir war alles egal;didn't feel like it anymore, I didn't care about anything
Meine Noten;my grades
Besonders;especially
Meinung gesagt;said (my) opinion
anstrengen;to make an effort
so weiter;so on, continue like that
erst ziemlich sauer;first quite angry
aufgehört;stopped, quit
froh, dass Ferhad mit mir gesprochen hat;glad that Ferhad spoke with me
unternehmen;to do something (together)
für ähnliche Dinge;for similar things
beide;both
Großeltern;grandparents

