German;English
das Fach, -er;subject, field
das Lieblingsfach, -er;favorite subject
die Mathematik (Mathe),sg.;mathematics (math)
die Biologie, Sg.;biology
die Kunst, Sg.;art
die Physik, Sg;physics
die Chemie, Sg;chemistry
die Geschichte, Sg.;history
der Schulhof, -e;schoolyard
der Stundenplan, -e;timetable, schedule
streng;strict
freundlich;friendly
(A) Schulen in Deutschland;(A) Schools in Germany
die Grundschule, -n.;primary school, elementary school
die Hauptschule, -n;secondary modern school (German school type)
die Realschule, -n;intermediate school (German school type)
das Gymnasium, Gymnasien;grammar school, high school (academic track)
die Gesamtschule, -n;comprehensive school
die Förderschule, -n;special needs school
die Berufsschule, -n;vocational school
das Abitur, Sg.;university entrance qualification, A-levels equivalent
die Schulpflicht, Sg.;compulsory education
das Schuljahr, -e;school year
dauern;to last
der Abschluss, -e;qualification, completion
der Schulabschluss, -e;school leaving qualification
das Zeugnis, -se;report card, certificate
die Klasse, -n;class
zu Ende sein;to be over, to end
fleißig;diligent, hard-working
die Ausbildung, -en;training, apprenticeship
die Autowerkstatt, -en;car repair shop, garage
der/die Kfz-Mechatroniker/in, -/-nen;automotive mechatronics technician
der Studienplatz, -e;university place
die Abschlussprüfung, -en;final examination
bestehen;to pass (an exam)
die Note, -n;grade, mark
die Prüfung, -en;exam, test
die Nachhilfe, Sg.;tutoring, extra lessons
mit drei Jahren;at three years old
wenn;if, when
hoffen;to hope
klappen;to work out, to succeed
es klappt;it works out, it succeeds
die Ferien, Pl;holidays, vacation
Dinge tun;to do things
die Langeweile, Sg.;boredom
(B) Elternabend;(B) Parents' Evening
der Elternabend, -e;parents' evening
der Raum, -e;room
gemeinsam;together, jointly
besprechen;to discuss
die Klassenkasse, -n;class fund
die Klassenfahrt, -en;class trip, school trip
die Klassenarbeit, -en;class test, written exam
der Schwimmunterricht, Sg.;swimming lessons
das Taschengeld, Sg.;pocket money
(C) Schule früher und heute;(C) School Then and Now
pünktlich;punctual, on time
nachsitzen;to do detention
der/die Klassenlehrer/in,-/-nen;class teacher, homeroom teacher
eine Frage stellen;to ask a question
der Hauptschulabschluss, -e;secondary modern school leaving certificate
leicht;easy
der/die Jugendliche, -n/-n;young person, youth
die Schulzeit, Sg.;school days, school time
der Schulweg, -e;way to school, school route
