German;English
sich informieren (über);to inform oneself (about), to get information (on)
Erfahrungen machen;to gain experience
(A) ich interessiere mich;(A) I am interested
der/die Arbeitsberater/in, -/-nen;careers advisor, employment counselor
die Fortbildung, -en;further training, professional development
die Förderung, -en;support, promotion, funding
die Möglichkeit, -en;possibility, opportunity
der Berufsabschluss, -e;vocational qualification
anerkennen;to recognize, to acknowledge
die Computerkenntnisse, Pl.;computer skills
finanzieren;to finance
aktuell;current, up-to-date
teilnehmen (an);to participate (in)
sich bewerben (um);to apply (for)
sich interessieren (für);to be interested (in)
sich ärgern (über);to be annoyed (about), to get angry (about)
denken (an);to think (of, about)
sich freuen (auf/über);to look forward (to) / to be happy (about)
warten (auf);to wait (for)
träumen (von);to dream (of)
sprechen (über);to speak (about)
telefonieren (mit);to talk on the phone (with)
damit;with it, so that, therefore
(B) Etwas Neues lernen;(B) Learning Something New
die Weiterbildung, -en;continuing education, advanced training
der/die Anfänger/in, -/-nen;beginner
der/die Fortgeschrittene, -n/-n;advanced learner, intermediate
die Dauer, Sg.;duration, length
die Gebühr, -en;fee, charge
die Materialkosten, Pl.;cost of materials
beruflich;professional, vocational
handwerklich;manual, craft-related, artisanal
bohren;to drill
nähen;to sew
die Grundkenntnisse, Pl.;basic knowledge
der Schwerpunkt, -e;main focus, emphasis
die Besprechung, -en;meeting, discussion
die Selbstständigkeit, Sg.;independence, self-employment
der Existenzgründerkurs, -e;business start-up course
unsicher;uncertain, insecure
der Arbeitsmarkt, Sg.;labor market, job market
(C) Sich für einen Kurs anmelden;(C) Registering for a Course
sich anmelden (für);to register, to enroll (for)
das Kursangebot, -e;course offerings, selection of courses
jederzeit;at any time, anytime
die Doppelstunde, -en;double lesson (e.g., two teaching periods)
die Voraussetzung, -en;prerequisite, requirement
die Online-Anmeldung, -en;online registration
Gern geschehen!;You're welcome! (response to thanks)
vorbeikommen;to come by, to stop by
anbieten;to offer
die Privatschule, -n;private school
das Schwarze Brett;notice board, bulletin board
die Kenntnisse, Pl.;knowledge, skills
die Fähigkeit, -en;ability, capability
das Plakat, -e;poster
