German;English
die Geschäftsreise, -n;business trip
die Urlaubsreise, -n;vacation trip, holiday trip
der Stau, -s;traffic jam
einchecken;to check in
der/die Reisende, -n;traveler
(A) Reisevorbereitungen;(A) Travel Preparations
die Reisezeit, Sg.;travel time, journey time
das Urlaubsfoto, -s;holiday photo
das Museum, Museen;museum
der Strand, -¨e;beach
der Sand, Sg.;sand
feiner Sand;fine sand
für Kinder geeignet;suitable for children
der Campingplatz, -¨e;campsite
die Wanderung, -en;hike, walk
der Flug, -¨e;flight
der Abflug, -¨e;departure (flight)
der Hinflug, -¨e;outward flight
der Rückflug, -¨e;return flight
der Abflugort, -e;departure point (for flights)
das Flugticket, -s;flight ticket
abfliegen;to depart, to take off (flight)
buchen;to book
der Katalog, -e;catalog, brochure
der Rucksack, -¨e;backpack
die Sonnencreme, -s;sunscreen
die Sonnenbrille, -n;sunglasses
die Badesachen, Pl.;swimwear, bathing things
die Batterien, Pl.;batteries
die Zahnbürste, -n;toothbrush
die Kamera, -s;camera
das Reisedokument, -e;travel document
die Brieftasche, -n;wallet, purse
das Kiosk, -e;kiosk, newsstand
das Lokal, -e;restaurant, pub, local establishment
(B) Dialoge auf der Reise;(B) Travel Dialogues
der Autounfall, -e;car accident
die Notrufsäule, -n;emergency telephone (on motorway)
die Notrufzentrale, -n;emergency call center
der Pannendienst, -e;breakdown service
die Autopanne, -n;car breakdown
der Kilometer, -;kilometer
der Wagen, -;car, vehicle
Das macht nichts!;Never mind! It doesn't matter!
die Platzreservierung, -en;seat reservation
besetzt;occupied, taken, busy
(C) Reiseplanung;(C) Travel Planning
das Reiseziel, -e;travel destination
das Ausflugsziel, -e;excursion destination, day-trip destination
die Unterkunft, -e;accommodation
die Altstadt, Sg.;old town, historic center
die Burg, -en;castle, fortress
ideal;ideal
autofrei;car-free
überall;everywhere
der Fahrradweg, -e;bicycle path, bike lane
die Insel, -n;island
die Küste, -n;coast, coastline
der Rundgang, -¨e;tour, guided walk
baden;to bathe, to swim
der Ausweis, -e;ID card, identification document
der Schlafsack, -¨e;sleeping bag
der Reiseführer, -;travel guide (book or person)
die Regensachen, Pl.;rain gear, wet-weather clothes
das Zelt, -e;tent
vorschlagen;to suggest
