German;English
die Arbeitssuche, Sg.;job search
die Bewerbung, -en;application
die Initiativbewerbung, -en;unsolicited application, speculative application
der Aushang, -¨e;notice, posted advertisement
das Praktikum, Praktika;internship, work placement
die Zeitarbeitsfirma, -firmen;temporary employment agency
der/die Bekannte, -en;acquaintance
(A) Stellenanzeigen lesen;(A) Reading Job Advertisements
die Stellenanzeige, -n;job advertisement
das Stellenangebot, -e;job offer, job vacancy
die Berufserfahrung, -en;work experience, professional experience
die Bezahlung, Sg.;pay, payment
die Schichtarbeit, -en;shift work
in Teilzeit arbeiten;to work part-time
in Vollzeit arbeiten;to work full-time
eine feste Stelle;a permanent position
der Ausbildungsplatz, -¨e;apprenticeship position, training place
die Aushilfe, -n;temporary help, assistant
der/die Personalberater/in, -/-nen;recruitment consultant, personnel consultant
die Auskunft, -e;information
die Bewerbungsunterlagen, Pl.;application documents
die Tätigkeit, -en;activity, job duties
die Bedingung, -en;condition, requirement
zusammenarbeiten;to work together, to collaborate
die Eigenschaft, -en;characteristic, quality
zuverlässig;reliable
flexibel;flexible
belastbar;resilient, able to handle stress
engagiert;committed, dedicated
teamfähig;good team player, able to work in a team
fleißig;hardworking, diligent
kreativ;creative
ehrlich;honest
geduldig;patient
der Tourismus, Sg.;tourism
der Traum, -¨e;dream
(B) Der erste Kontakt;(B) The First Contact
der Stundenlohn, -¨e;hourly wage
der Arbeitsvertrag, -¨e;employment contract
die Überstunde, -n;overtime hour
vor allem;above all, especially
ob;whether, if
(C) Die Bewerbung;(C) The Application
der Lebenslauf, -¨e;curriculum vitae, CV, resume
persönliche Daten;personal details
die Schulbildung;school education
die Weiterbildung, -en;further education, continuing education
das Diplom, -e;diploma
das Bewerbungsschreiben, -;cover letter, letter of application
das Bewerbungsfoto, -s;application photo
das Bewerbungsgespräch, -e;job interview
das Vorstellungsgespräch, -e;job interview
die Arbeitspause, -n;work break
das Gehalt, -¨er;salary
die Teamarbeit, Sg.;teamwork
die Fremdsprache, -n;foreign language
