German;English
putzen; to clean
lange frühstücken; to have a long breakfast
(A) In der Einkaufsstraße; (A) On the Shopping Street
die Einkaufsstraße, -n; shopping street
plötzlich; suddenly
der Sturm, -e; storm
das Gewitter, -; thunderstorm
durcheinander; in disarray, mixed up
der Sonnenschirm, -e; sun umbrella, parasol
fallen; to fall
rennen; to run (quickly)
laufen; to walk, to run
das Chaos, Sg.; chaos
der Boden, -; floor, ground
das Messer, -; knife
die Gabel, -n; fork
der Löffel, -; spoon
die Serviette, -n; napkin
die Katze, -n; cat
das Stadtzentrum, Sg.; city center
(B) Was machen wir am Sonntag?; (B) What are we doing on Sunday?
der Job, -s; job
doch; however, yes (as contradiction), after all
Doch, wir haben Zeit.; Yes we do have time. / But we do have time.
Herzlichen Glückwunsch!; Congratulations!
schade; too bad, a pity
sicher; sure, certain
ganz sicher; absolutely sure
verbringen; to spend (time)
das Wochenende; weekend
gemeinsam verbringen; to spend together
los sein; to be on, to be going on
Hier ist viel los.; It's very busy here.
die Schwiegereltern, Pl.; parents-in-law
der Pflegedienst, -e; care service, nursing service
den Haushalt machen; to do the housework
bügeln; to iron
die Reparatur, -en; repair
erzählen; to tell (a story)
berichten; to report
(C) Im Restaurant; (C) In the Restaurant
das Gericht, -e; dish, meal
typisch; typical
reservieren; to reserve
bestellen; to order
bezahlen; to pay
Zusammen oder getrennt?; Together or separately?
die Speisekarte, -n; menu
die Vorspeise, -n; appetizer, starter
die Hauptspeise, -n; main course
die Nachspeise, -n; dessert
die Rechnung, -en; bill, check
Das macht 20€.; That comes to 20 euros.
stimmen; to be correct
Stimmt so.; Keep the change. / That's correct (as is).
das Trinkgeld, -er; tip
