German;English
Sorgen haben;to have worries, to be worried
sich entspannen;to relax
sich bewegen;to move, to exercise
sich ernähren;to eat, to nourish oneself (focus on diet)
abnehmen;to lose weight
zunehmen;to gain weight
schlank sein;to be slim
dick sein;to be fat, overweight
schlechte Luft;bad air, stuffy air
das Fitnesscenter, -;fitness center
trainieren;to train, to work out
die Entspannung, Sg.;relaxation
(A) In der Arztpraxis;(A) At the Doctor's Office
Platz nehmen;to take a seat
die Arzthelferin, -nen;doctor's assistant, medical assistant
die Beschwerde, -n;complaint, ailment
die Krankheit, -en;illness, disease
den Blutdruck messen;to measure blood pressure
Blut abnehmen;to take a blood sample
impfen (gegen);to vaccinate (against)
den Oberkörper frei machen;to bare the upper body
verschreiben;to prescribe
vereinbaren;to arrange, to schedule (an appointment)
der Gesundheits-Check, -s;health check-up
die Laboruntersuchung, -en;laboratory test
die Vorsorgeuntersuchung, -en;preventive medical check-up
das Ergebnis, -se;result
in Ordnung;okay, all right, in order
vernünftig;sensible, reasonable
die Blutwerte, Pl.;blood values, blood test results
hoch;high
(B) Medikamente;(B) Medication
die Magenschmerzen, Pl.;stomach ache
einnehmen;to take (medicine)
der Beipackzettel, -;package leaflet, information leaflet
die Nebenwirkungen, Pl.;side effects
empfindlich;sensitive
empfehlen;to recommend
wieso;why
die Hausapotheke, -n;home medicine cabinet
der Verband, -¨e;bandage, dressing
das Pflaster, -;band-aid, plaster; patch
der Durchfall, Sg.;diarrhea
die Schere, -n;scissors
die Salbe, -n;ointment, cream
die Nasentropfen, Pl.;nose drops
die Spritze, -n;injection, syringe
(C) Ernährung und Gesundheit;(C) Nutrition and Health
die Ernährung, Sg.;nutrition, diet
das Vitamin, -e;vitamin
die Getreideprodukte, Pl.;cereal products, grain products
vermeiden;to avoid
verzichten (auf);to do without, to go without
das Fett, -e;fat
die Süßigkeiten, Pl.;sweets, candy
schaden;to harm, to damage
fettarm;low-fat
