German;English
Mietshaus;apartment building, tenement house
manchmal;sometimes
befragt;asks, questions, interrogates
erzählen;to tell, to narrate
es letztes;it last (time)
hat gegeben;has given / there was/were
Zentralheizung;central heating
Hausmeister;caretaker, janitor
Notdienst;emergency service
wieder warm;warm again
Licht;light
Treppenhaus;stairwell
reparieren;to repair
haben erlebt;have experienced
viele Sachen;many things
nur schlecht;only bad / just poorly
zu Fuß laufen;to walk on foot
ist anstrengend;is strenuous
viel Müll;a lot of rubbish/trash
anderen;other, others
Mietern im Treppenhaus;tenants in the stairwell
deshalb;therefore, that's why
Hausverwaltung angerufen;called the property management
hat gesprochen;has spoken / spoke
Mieter;tenant
haben alles aufgeräumt;have tidied everything up / cleaned everything up
