German;English
suchen;to search, to look for
Arbeitsagentur;employment agency, job center
Kfz-Zulassungsstelle;vehicle registration office
anmelden und abmelden;to register and deregister
Familienkasse;family benefits office (for child benefits)
Kindergeld;child benefit, child allowance
beantragen;to apply for
Beim Standesamt;at the registry office
heiraten;to get married
Beim Ausländeramt;at the foreigners' registration office
Visum verlängern;to extend a visa
Bei der Meldestelle;at the registration office (for residents)
Wohnung anmelden;to register a new address
