German;English
was ist los;what's wrong / what's the matter
aufstehen;to get up, stand up
Kopf tut weh;head hurts
ganz heiß;very hot
Du bleibst;you stay
Fieberthermometer;fever thermometer
nimm es;take it
in den Mund;into the mouth
Vielleicht;Maybe / Perhaps
du nimmst sie mit und gibst sie;you take them with you and give them
Klassenlehrer;class teacher, homeroom teacher
Schwesterchen;(little) sister
zeig mal;show me
jetzt erst mal einen Tee;first, have a tea for now
Möchtest du noch etwas;Would you like anything else?
mein Schatz;my darling, my sweetheart
Ich hole ihn dir;I'll get it for you
kannst du ein bisschen Musik hören;can you listen to a little music?
schreibe die Entschuldigung;write the excuse note
rufe beim Arzt an;call the doctor
