German;English
liebe Hörerinnen und Hörer;Dear listeners
Unsere Sendung;Our program / broadcast
Thema;Topic
Gesundes Essen;Healthy eating
haben vier Menschen gefragt;(we) have asked four people
im Leben wichtig;important in life
das heißt jeden Tag;that means every day
Portionen Obst und Gemüse;servings of fruit and vegetables
fünfmal;five times
gar nicht so viel Zeit;not that much time at all
Ich glaube;I think
Viele Leute;Many people
rauchen vielleicht auch;perhaps also smoke
sie werden alt und bleiben doch gesund;they get old and still stay healthy
ganz wichtig;very important
besonders;especially
Viele Kinder sind ja zu dick;Many children are indeed too fat
In meinem Land;In my country
sagt man;they say
Lieber ein bisschen zu wenig;Better a little too little
das ist besser als zu viel;that is better than too much
Gesund leben;To live healthily
ich weiß nicht;I don't know
man muss auch Spaß am Leben haben;you also have to enjoy life
auch wichtig;also important
Ich mag gern;I like
esse gern Fleisch und Süßes mag ich auch;I like eating meat and I also like sweets
wichtig für mich;important for me
wenn ich zufrieden bin;when I am content / satisfied
dann bin ich auch gesund;then I am also healthy
