German;English
das Kaufhaus, -er;the department store
der Anzug -e;the suit
das Hemd, -en;the shirt
die Hose, -n;the pants/trousers
das Kleid, -er;the dress
der Mantel,-;the coat
der Pullover, -;the sweater
der Rock -e;the skirt
der Schuh, -e;the shoe
die Jeans, -;the jeans
das T-Shirt, -s;the T-shirt
das Sweatshirt, -s;the sweatshirt
die Bluse, -n;the blouse
die Socke, -n;the sock
die Unterwäsche, Sg;the underwear (singular)
gefallen;to please/like
Gefällt dir das Kleid?;Do you like the dress? (informal)
die Kleidung, Sg;the clothing (singular)
schick;chic/elegant
altmodisch;old-fashioned
gar nicht;not at all
überhaupt (nicht);at all (not at all)
komisch;funny/strange
(A) Kleidung kaufen;Buying clothes
aussehen;to look/appear
passen;to fit
Die Schuhe passen nicht;The shoes don't fit
anprobieren;to try on
die Umkleidekabine, -n;the changing room
der Secondhandladen, -;the second-hand store
der Flohmarkt, -e;the flea market
die Boutique, -n;the boutique
günstig;favorable/affordable
teuer;expensive
angenehm;pleasant
stressig;stressful
kompliziert;complicated
cool;cool
anziehen;to put on/get dressed
welcher, -s, -e;which
(B) Im Kaufhaus einkaufen;Shopping in the department store
das Computerspiel. -e;the computer game
der Schmuck, Sg;the jewelry (singular)
die Toilette, -n;the toilet/bathroom
der Ausgang -e;the exit
die Größe, -n;the size
eine Hose in Größe M;pants in size M
nachsehen;to check/look up
die Abteilung -en;the department
hinten, dort hinten;in the back, back there
vorne. da vorne;in front, there in front
direkt neben;directly next to
die Rolltreppe, -n;the escalator
das Mädchen, -;the girl
der gleiche Preis;the same price
Tut mir leid;I'm sorry
der Vorteil, -e;the advantage
der Nachteil, -e;the disadvantage
