German;English
ein Rezept vom Arzt;a prescription from the doctor
Darf ich bitte mal sehen?;May I please see it?
die Rezeptgebühr;the prescription fee / co-payment
Sie müssen die Tabletten dreimal täglich nehmen.;You must take the tablets three times a day.
Leichte Kopfschmerzen sind möglich.;Mild headaches are possible.
das ist sehr selten;that is very rare
am Freitagabend auch zum Straßenfest?;also coming to the street festival on Friday evening?
aber etwas später;but a bit later
ungefähr um zehn Uhr;at about ten o'clock
am Anfang gar nicht dabei;not there at all at the beginning
eröffnen die Fotoausstellung;to open the photo exhibition
Preise;prices / awards
bei der Ausstellung;at the exhibition
leider komme ich erst spät nach Hause;unfortunately I'll only come home late
auf Geschäftsreise;on a business trip
wie schade;what a pity
Hoffentlich;hopefully
ich freue mich schon sehr auf das Fest;I'm already really looking forward to the festival
Ich helfe sicher auch am Schluss;I'll definitely help at the end too
wenn wir aufräumen müssen;when we have to clean up
Klassenlehrer;class teacher
warum Sie anrufen;why you are calling
die Noten von Stefan;Stefan's grades
seine Noten sehr schlecht geworden;his grades have become very bad
anderen Fächern;other subjects
Wie ist das möglich?;How is that possible?
im letzten Jahr war er viel besser;last year he was much better
er sich leider überhaupt nicht für die Schule;unfortunately he is not interested in school at all
was ich machen soll;what I should do
Ich habe gedacht;I thought
in der Schule vorbeikommen;to come by the school
dass wir alle zusammen darüber reden können;that we can all talk about it together
nächsten Mittwoch;next Wednesday
Wo treffen wir uns?;Where shall we meet?
Klassenzimmer;classroom
