German;English
Es folgt die Wettervorhersage.;The weather forecast follows.
viel Sonne und es bleibt trocken;a lot of sun and it stays dry
ein paar einzelne Wolken;a few isolated clouds
Die Temperatur steigt auf 14 Grad;The temperature rises to 14 degrees
Der Wind weht schwach bis mäßig aus Nordwest;The wind blows weak to moderate from the northwest
Montag stark bewölkt mit Regen;Monday heavily cloudy with rain
Nicht vergessen;don't forget
ganz in Ruhe einkaufen!;shop in peace and quiet!
Nutzen Sie die Chance;Take advantage of the opportunity
profitieren Sie auch von den Superangeboten;also benefit from the great offers
Gartenpflanzen, Gartenmöbel und Gartengeräte;garden plants, garden furniture and garden tools
Sonnenschirme schon ab 20 Euro!;Sun umbrellas from 20 euros!
Baumarkt Hopf an der Autobahnausfahrt Bremen Vahr.;Hopf DIY store at the Bremen Vahr motorway exit.
einem Bericht;a report
Es folgen Reportagen;Reports follow
sowie aktuelle;as well as current
Nachrichten vom Sport aus aller Welt;news from sports around the world
am Schluss der Sendung haben;at the end of the program we have
zunächst;first of all / initially
Es folgen Verkehrsmeldungen;Traffic reports follow
Richtung;direction
Anschlussstelle Mühlhausen fünf Kilometer Stau;Mühlhausen junction five kilometers of traffic jam
Vorsicht;caution / careful
beiden Richtungen Tiere auf der Fahrbahn;in both directions animals on the road

