German;English
sich selbstständig machen;to become self-employed
die Zahl der Selbstständigen stark gestiegen;the number of self-employed people has risen sharply
anstrengend;exhausting / strenuous
die den Schritt in die Selbstständigkeit;who take the step into self-employment
Vielleicht stellen Sie sich erst einmal vor;Perhaps introduce yourself first
Wollen Sie anfangen;Do you want to start
angestellt;employed
Meisterprüfung;master craftsman examination
gegründet;founded / established
Krankenschwester;nurse (female)
Berufspraxis;professional practice / work experience
Pflegeheim;nursing home
„Tagespflege in der Altstadt“ gegründet;founded "Daycare in the Old Town"
betreuen Senioren;look after seniors / care for elderly people
sieben Tage;seven days
