German;English
bald;soon
jeden Fall nicht wieder Strandurlaub auf Amrum;definitely not another beach vacation on Amrum again
keine Lust;no desire / don't feel like it
schon wieder dieselbe Ferienwohnung zu buchen;to book the same vacation apartment again
denselben Strand zu sehen;to see the same beach
nach Bayern auf einen Campingplatz;to Bavaria to a campsite
ob der Unterschied;whether the difference
Auf Amrum liegen wir am Strand am Meer und dort am Chiemsee;On Amrum we lie on the beach by the sea and there by Lake Chiemsee
nur Wasser und nichts tun;only water and doing nothing
Wäre es nicht besser;Wouldn't it be better
ich würde dann lieber eine Tour durch Deutschland machen;I would rather do a tour through Germany then
verschiedene Städte besichtigen;to visit different cities
Abwechslung und Bewegung;variety and movement
Was meinst du dazu?;What do you think about that?
Das ist mit zu anstrengend!;That's too exhausting for me!
doch gerade gesagt;just said
bewegen;to move
nicht immer an demselben Ort sein willst;you don't want to always be in the same place
anschauen;to look at / to see
Ich brauche auch Erholung!;I also need relaxation!
reine;pure
Ich habe gedacht;I thought
einem Ort länger bleiben;to stay longer in one place
uns ausruhen;to rest
Wellnesshotel;wellness hotel
entspannen;to relax
