German;English
öffentlichen Verkehrsmitteln;public transport
verzichten;to do without / to refrain
bei Wochenendausflügen;on weekend trips
In vielen Regionen gibt es am Wochenende Freizeitbusse;In many regions there are leisure buses on weekends
die Wanderer;that hikers
aus den Städten in die Freizeitgebiete fahren;travel from the cities to the leisure areas
noch nicht genug für den öffentlichen Verkehr;still not enough for public transport
Die Fahrpreise sind sehr hoch;The fares are very high
durch Umsteigen verliert;loses by transferring
die Tickets und die Monatskarten sollten billiger werden;the tickets and monthly passes should become cheaper
verbessern;to improve
öffentliche Verkehrsmittel umsteigen;to transfer to public transport
schaden der Umwelt;harm the environment
öffentliche Verkehrsmittel;public transport
Busse und Bahnen;buses and trains
würde es weniger Lärm;there would be less noise
weniger Abgase;fewer exhaust fumes
der Verkehr würde besser funktionieren;traffic would function better
verzichten;to do without
die Umwelt zu schützen;to protect the environment
nicht mehr so voll;no longer so full
Leider sind Züge öffentliche Verkehrsmittel oft unpünktlich.;Unfortunately, trains and public transport are often unpunctual.
fallen Züge und S-Bahnen wegen technischer Probleme;trains and S-Bahn trains are cancelled due to technical problems
im Berufsverkehr;during rush hour
sondern auch viele andere Leute das eigene Auto seltener benutzen würden;but also many other people would use their own cars less often
wenn die öffentlichen Verkehrsmittel zuverlässiger wären;if public transport were more reliable
