German;English
ab dem nächsten Jahr neue Regeln für den Urlaub gibt?;there are new rules for vacation starting next year?
Nein, wie sind die?;No, what are they?
Ab nächstem Jahr dürfen nur noch zwei von uns gleichzeitig Urlaub nehmen;From next year, only two of us can take vacation at the same time
Was, nur noch nur zwei Wochen im Block?;What, only two weeks in a block?
nach Kanada fliegen;to fly to Canada
zwei Wochen lohnt sich das nicht;two weeks is not worth it
das ist zu kurz!;that's too short!
weil da Schulferien sind;because there are school holidays then
sich geeinigt;agreed / reached an agreement
Schau, hier ist der bisherige Plan.;Look, here is the current plan.
beide;both
eine Fortbildung;further training
schon fest angemeldet;already firmly registered
dann habe ich ja keine Wahl!;then I have no choice!
das ist blöd, tut mir leid!;that's stupid, I'm sorry!
den Vorteil;the advantage
drei Wochen im Block;three weeks in a block
Ja, in Ordnung.;Yes, okay.
das ist echt nett von dir!;that's really nice of you!
jeden Fall drei Wochen oder vielleicht sogar vier im Block!;in any case three weeks or maybe even four in a block!
eine ganz gute Lösung;a quite good solution
übernächstes;the year after next
