German;English
Versicherungsgesellschaft Urbach;Urbach insurance company
einige Fragen zu Autoversicherungen;some questions about car insurance
anmelden;to register / to apply
was die Versicherung dafür kostet;what the insurance costs for that
ein Neuwagen oder ein gebrauchtes Fahrzeug;a new car or a used vehicle
Vollkaskoversicherung;fully comprehensive insurance
empfehlen;to recommend
Autos vom Carsharing;cars from carsharing
nachdem Sie einige Jahre ohne Unfall gefahren sind, sinken die Beträge;after you have driven for several years without an accident, the amounts decrease
Außerdem muss ich noch wissen;In addition I need to know
Wo steht das Auto?;Where is the car parked?
steht es zum Beispiel auf der Straße?;is it parked on the street for example?
Ist das wirklich wichtig?;Is that really important?
das müssen wir wissen;we need to know that
ist die Gefahr;the risk is
dass es beschädigt oder gestohlen wird größer;that it gets damaged or stolen is greater
ich verstehe;I understand
Haben Sie die Schlüsselnummer des Fahrzeugs?;Do you have the key number of the vehicle?
welchen Fahrzeugtyp;which vehicle type
Nein, die habe ich leider nicht;No, unfortunately I don't have that
zurückrufen?;call back?
bis gleich;see you in a moment
