German;English
wie geht es deinem Rücken?;how is your back?
Hast du noch starke Schmerzen?;Do you still have strong pain?
bewegen;to move
Krafttraining;strength training
viele Übungen;many exercises
die Muskeln in meinem Rücken zu stärken;to strengthen the muscles in my back
Macht dir das Training Spaß?;Do you enjoy the training?
nach dem Training fühle ich mich immer viel besser;after training I always feel much better
schlafe;sleep
wieder;again
zwei Kilo zugenommen;gained two kilos
treiben;to do (sports) / to drive
über Nordic Walking nachgedacht?;thought about Nordic walking?
leicht;light / easy
Muskeln im Körper;muscles in the body
verbessert auch das Immunsystem;also improves the immune system
Das hört sich gut an;That sounds good
Tun Sie das;Do that
Sie werden;You will
sehen;to see
der Volkshochschule;the adult education center
Es macht sicher Spaß;It's certainly fun
Wie siehst du denn aus?;What do you look like? / How do you look?
Was ist denn passiert?;What happened?
Ich bin hingefallen.;I fell down.
im Wald joggen;jogging in the forest
Es wurde schon dunkel und da ist es passiert.;It was already dark and that's when it happened.
Es hat sehr weh getan.;It hurt a lot.
Bist du gleich ins Krankenhaus in die Notaufnahme gefahren?;Did you go straight to the hospital emergency room?
dabei;thereby / with it
damit;with it / so that
anziehen;to put on / to dress
Notaufnahme gebracht;taken to the emergency room
Musstest du lange warten?;Did you have to wait long?
ungefähr eineinhalb Stunden.;about an hour and a half.
Es waren ziemlich viele Patienten;There were quite a lot of patients
ziemliche Schmerzen;quite a lot of pain
warst du beim Röntgen?;did you have an X-ray?
Der Fuß ist zum Glück nur verstaucht;The foot is fortunately only sprained
Das heißt sechs Wochen Gips!;That means six weeks in a cast!
Hebamme;midwife
Schwangerschaftsgymnastik angemeldet;signed up for pregnancy exercise
bereit?;ready?
Bewegung ist wichtig;Exercise is important
während der Schwangerschaft!;during pregnancy!
bis zur Geburt aktiv bleibt;stays active until birth
an den sieben Terminen verschiedene Übungen;various exercises at the seven sessions
ausprobieren;to try out
los geht's mit einer Atemübung;let's start with a breathing exercise
atmet tief in den Bauch;breathe deeply into the belly
