German;English
Erzieherin;educator (female) / nursery school teacher
Sie passen nur auf, dass nichts passiert?;You only make sure that nothing happens?
wir haben auch einen Bildungsauftrag;we also have an educational mandate
fördern wir die Sprachfähigkeit;we promote language skills
eine Geschichte;a story
über wichtige Dinge zu sprechen;to talk about important things
Können Sie dafür ein Beispiel geben?;Can you give an example of that?
Streit zwischen Kindern gibt;there is an argument between children
fordern;to demand / to encourage
So lernen die Kinder Regeln;That's how children learn rules
einen Streit beendet;settles an argument
Vorbereitung auf die Schule;preparation for school
welche Rolle haben die Eltern in der Erziehung?;what role do parents have in upbringing?
erste Vorbild;first role model
Verantwortung;responsibility
einzeln fördern;to support individually
sich um sie zu kümmern;to take care of them
Alltagsdinge beizubringen;to teach everyday things
eine Schleife binden;to tie a bow
die Spielsachen aufräumen;to tidy up the toys
Geschichten vorlesen;to read stories aloud
die Welt erklären;to explain the world
