German;English
einen Kredit beantragen;to apply for a loan
der Altstadt übernehmen;to take over in the old town
bietet Selbstständigen;offers self-employed people
sehr günstigen Konditionen mit niedrigen Zinsen an;offers very favorable terms with low interest rates
Haben Sie auch Eigenkapital?;Do you also have equity capital?
Kredit zurückzahlen?;to pay back the loan?
innerhalb;within
Wie hoch wären dann die Zinsen?;How high would the interest be then?
Bei einer Laufzeit des Kredits;With a loan term of
Ihnen Zinsen in Höhe von 2,75 Prozent anbieten;offer you interest of 2.75 percent
Das hört sich gut an.;That sounds good.
das ist in Ordnung;that's fine
Bearbeitung;processing
folgende Unterlagen;the following documents
Kopien Ihrer Ausweise;copies of your IDs
den Businessplan;the business plan
eine Schufa-Auskunft sowie den Mietvertrag;a Schufa credit report and the rental agreement
Unsere Bank möchte wissen;Our bank would like to know
ob Sie irgendwo Schulden haben;whether you have debts anywhere
Schufa;credit bureau / credit agency
deshalb brauchen wir eine sogenannte Schufa-Auskunft;therefore we need a so-called Schufa credit report
bei der Schufa anfragen und diese Auskunft besorgen;to request this information from Schufa and obtain the report
Dann müssen Sie sich nicht selbst darum kümmern;Then you don't have to take care of it yourself
Wir prüfen Ihre Unterlagen;We will review your documents
alles in Ordnung;everything in order
dauert es normalerweise nur ein paar Tage;it usually takes only a few days
