German;English
übrigens;by the way / incidentally
kleinen Streit mit einem Nachbarn;small argument with a neighbor
die Sonntagsruhe;Sunday quiet hours
Kurz nach dem Einzug;shortly after moving in
Löcher in die Wand bohren;to drill holes in the wall
um Regale aufzuhängen;to hang up shelves
aus der Wohnung gegenüber bei uns geklingelt und sich beschwert;from the apartment opposite rang our doorbell and complained
entschuldigt und versprochen;apologized and promised
die Regale erst am Montag aufhängen werden;would only hang the shelves on Monday
Seitdem;since then
keine Störungen;no disturbances / no disruptions
Ruhezeiten;quiet hours / rest periods
Regeln für die Mittags- und Nachtruhe;rules for midday and nighttime rest
Hausordnung;house rules
Trotzdem gibt es wegen der Ruhezeiten;Nevertheless, because of the quiet hours there are
vielen Städten sitzen;in many cities sit
spät in die Nacht;late into the night
öffentlichen Plätzen und unterhalten sich oder machen Musik;in public places and talk or make music
Für die Anwohner ist das meistens sehr störend.;For the residents, that is usually very disturbing.
