German;English
in Bayern die Sommerferien begonnen;the summer holidays have started in Bavaria
viel Verkehr auf den Autobahnen;a lot of traffic on the highways
Verkehrsmeldungen;traffic reports
Richtung Würzburg;direction Würzburg
Baustelle, 7km Stau;construction site, 7km traffic jam
der rechte Fahrstreifen ist gesperrt;the right lane is closed
Vorsicht;caution / careful
Gefahr durch Gegenstände auf der Fahrbahn;danger from objects on the road
wegen Bauarbeiten in beiden Richtungen gesperrt;closed in both directions due to construction work
verkehren wegen Bauarbeiten;operate due to construction work
Eine Umleitung ist ausgeschildert;A detour is signposted
Staus gibt es außerdem auf;there are also traffic jams on
Sehr geehrte Fahrgäste;Dear passengers
verkehren wegen Bauarbeiten;operate due to construction work
keine Züge;no trains
gibt es in diesem Zeitraum einen Schienenersatzverkehr mit Bussen;there is a rail replacement service with buses during this period
Die Haltestellen des Schienenersatzverkehrs befinden sich jeweils direkt vor den Bahnhöfen;The stops for the rail replacement service are located directly in front of the stations
