German;English
etwas für den Umweltschutz tun;to do something for environmental protection
Sie sparen Strom und versuchen, Verpackungen zu vermeiden.;They save electricity and try to avoid packaging.
der Müll getrennt;the waste separated
Mülltonnen für: Restmüll, Biomüll, Verpackungen, Papier und Glas.;trash bins for: residual waste, organic waste, packaging, paper and glass.
Schadstoffe;hazardous substances / pollutants
auf dem Recyclinghof oder beim Schadstoffmobil abgeben;to dispose of at the recycling center or at the hazardous waste mobile
Batterien und Akkus;batteries and rechargeable batteries
Kohle und Öl sind eines Tages verbraucht;Coal and oil will be used up one day
Erneuerbare Energien wie Windkraft;Renewable energies such as wind power
Solarenergie werden immer wichtiger;solar energy are becoming increasingly important
