German;English
die Eröffnung des neuen Kulturzentrums von Unterrode;the opening of the new cultural center in Unterrode
Viele Bürgerinnen und Bürger freuen sich darüber;Many citizens are happy about it
viele sehen das Projekt jedoch auch kritisch;many also view the project critically
Straßenumfrage;street survey
die teuren Eintrittsarten leisten;can afford the expensive tickets
die besser verdienen;who earn more
mehr Geld in Sportanlagen und Jugendzentren investieren;to invest more money in sports facilities and youth centers
Ich bin sehr froh;I am very glad
sehr unbefriedigend;very unsatisfactory
auch bekannte Musikgruppen;also well-known music groups
Künstler;artists
Ort bleibt und nicht immer mehr Leute wegziehen;the place stays and not more and more people move away
diese Meinung;this opinion
es hat viel Geld gekostet;it cost a lot of money
ich bin sicher;I am sure
die Stadt das Geld wieder verdienen kann;the city can earn the money back
Veranstaltungen;events
Umgebung;surroundings / area
anderen Städten kommen gerne hierher;people from other cities like to come here
großen Veranstaltungsort für die Vereine unserer Stadt;large event venue for the clubs of our city
die Stadt alle Kosten für das Haus tragen;the city has to cover all costs for the building
angefangen bei den Kosten für Strom und Wasser bis zu den Verwaltungskosten;starting with the costs for electricity and water up to administrative costs
was man mit Vermietungen oder Eintrittskarten verdienen kann;what can be earned with rentals or tickets
