German;English
Internet-Nutzern kaufen inzwischen regelmäßig online ein;internet users now regularly shop online
erfahren;to experience / to learn / to find out
welche Erfahrungen sie gemacht haben;what experiences they have had
Geschäften;shops / stores
viele Gründe;many reasons
einfach bequemer;simply more convenient
Geschäfte;shops / stores / businesses
sehr voll;very crowded
genug Parkplätze;enough parking spaces
bestelle;order
lade häufig Musik runter;often download music
nicht in einer langen Schlange warten;not have to wait in a long queue
auch Kleidung oder Schuhe im Netz;also clothes or shoes on the internet
inzwischen ziemlich;by now quite / pretty
Kleider;clothes / dresses
die Kleider erst anprobieren;to try on the clothes first
schlechte Erfahrungen;bad experiences
Bestellungen;orders
die Sachen nicht gefallen;don't like the things
einfach zurückgeschickt;simply sent back
kleine Umfrage hier;small survey here
Fußgängerzone;pedestrian zone
die Preise besser vergleichen;to compare prices better
weil ich es online bestellt;because I ordered it online
Brille;glasses
Das war ganz einfach;That was very simple
sehr billig;very cheap
Fast;almost
Deshalb;therefore
ich natürlich beim Bäcker;I of course at the bakery
nie schlechte Erfahrungen;never bad experiences
Eigentlich nicht.;Actually not.
E-Mails mit Werbung;emails with advertisements
das stört mich nicht;that doesn't bother me
Samstagvormittag;Saturday morning
Mal wieder im Geschäft einkaufen;to shop in a store again for a change
