German;English
Wahlbenachrichtigung;voting notification / election notification
Stell dir vor, die kleine Lea darf auch schon wählen.;Imagine, little Lea is also allowed to vote already.
Lass mich raten:;Let me guess:
Du gibst deine Stimme der Tierschutzpartei.;You're giving your vote to the animal protection party.
die bestimmt super;which is certainly great
Tierschutz ein wichtiges Thema ist.;animal protection is an important topic.
du siehst das auch so.;you see it that way too.
Sag nichts.;Don't say anything.
Ich weiß schon.;I already know.
Du bist gegen Dieselautos.;You are against diesel cars.
Gibt es denn hier auf der Liste eine Anti-Diesel-Partei?;Is there an anti-diesel party on this list?
Du bist doof.;You're stupid.
Umweltschutz und Tierschutz sind eben wichtig.;Environmental protection and animal protection are simply important.
Es ist mir nicht egal;It's not unimportant to me
wie unsere Erde in 100 Jahren aussieht;what our earth will look like in 100 years
Je mehr Klimaschutz, desto besser.;The more climate protection, the better.
Darum wähle ich auch nur eine Partei;That's why I only vote for a party
die sich für neue Ziele im Klima- und Umweltschutz einsetzt.;that advocates for new goals in climate and environmental protection.
das sehe ich doch auch so.;I see it that way too.
Ich wollte dich nur ein bisschen ärgern.;I just wanted to tease you a little.
