German;English
in unserer Reihe „Richtig bewerben“;in our series "Applying Correctly"
festen Arbeitsvertrag mit der Grundstein;permanent employment contract with the foundation
wie die Bewerbung abgelaufen ist;how the application went
Abteilungsleiter;department head
großen Möbelgeschäft;large furniture store
von Bochum dorthin gezogen;moved there from Bochum
Deshalb;therefore
Bauingenieurin;civil engineer (female)
Das war aber nicht so einfach;But that wasn't so easy
bei mehreren Firmen beworben;applied to several companies
Absagen;rejections
Außerdem;besides / furthermore
Online-Bewerbung erwartet;online application expected
das war für mich am Anfang ein bisschen schwierig;that was a bit difficult for me at first
weil ich darin keine Erfahrungen hatte;because I had no experience in that
Ungefähr;approximately / about
es dann doch geklappt;it worked out in the end
eine geeignete Stellenanzeige;a suitable job advertisement
sie genauer gelesen;read it more carefully
meinen Lebenslauf noch einmal aktualisiert und verbessert;updated and improved my CV again
Zeugnisse;certificates / references
Schließlich;finally
alle Unterlagen abgeschickt;sent off all documents
bis zur Einladung zum Bewerbungsgespräch gedauert;took until the invitation to the interview
Ungefähr drei Wochen;approximately three weeks
für die Vorbereitung auf das Bewerbungsgespräch;for the preparation for the job interview
Trotzdem war ich vor dem Bewerbungsgespräch ziemlich nervös;Nevertheless, I was quite nervous before the interview
erfolgreich;successful
gelaufen;went / turned out
Gespräch;interview / conversation
eine Zusage bekommen;received a positive response / got an offer
den Arbeitsvertrag unterschrieben;signed the employment contract
das ist also alles gut gelaufen;so it all went well
Ich möchte gerne noch einmal genauer über das Bewerbungsschreiben sprechen;I would like to talk again about the cover letter in more detail
