German;English
an einem Existenzgründerseminar teilnehmen;to participate in a startup seminar
ein Unternehmen gründen;to found a company / to start a business
sein eigener Chef sein;to be one's own boss
ein Geschäft aufmachen;to open a shop / business
eine Firma leiten;to manage a company
einen Kredit aufnehmen;to take out a loan
die Unterlagen prüfen;to check the documents
Weiterbildungsangebote nutzen;to use continuing education offers
Eigenkapital haben;to have equity capital
Schulden haben;to have debts
