German;English
Experten gehen davon aus;experts assume
der Anteil der Menschen mit Migrationshintergrund;the proportion of people with a migration background
weiterhin wachsen;will continue to grow
dabei aus vielen Ländern der Welt zu uns;coming to us from many countries of the world
sich verändern;to change
nur noch halb so viele Autos wie heute geben;there will only be half as many cars as today
Dafür wird aber der öffentliche Nahverkehr;Instead, public transport
also Busse, Bahnen usw.;i.e. buses, trains, etc.
eine viel größere Rolle als heute spielen.;will play a much bigger role than today.
Wie wird das Wetter im Jahr 2050 sein?;What will the weather be like in 2050?
Experten gehen davon aus;experts assume
heißer und trockener;hotter and drier
Der Strom wird wahrscheinlich zu 80 Prozent aus erneuerbaren Energien stammen;Electricity will likely come from renewable energy sources at 80 percent
die Atomkraft bzw. Kernenergie keine Rolle;nuclear power will play no role
wirtschaftlich bis zum Jahr 2050 stärker wachsen;economically grow stronger by 2050
Im ländlichen Raum werden weniger Menschen;In rural areas there will be fewer people
Prognosen gehen davon aus;forecasts assume
die Einwohnerzahl dort um 30 Prozent;the population there by 30 percent
