German;English
zufällig an Ihrem Stand vorbeigekommen;came past your booth by chance
was Sie hier ausstellen;what you are exhibiting here
erzählen;to tell / to narrate
Hauptsitz in Furtwangen;headquarters in Furtwangen
ein Werk in Polen;a factory in Poland
Armaturen für Bäder und Küchen;fittings / fixtures for bathrooms and kitchens
Unser Unternehmen;Our company
einen Umsatz;a turnover
Wo verkaufen Sie denn Ihre Armaturen?;Where do you sell your fittings?
Den größten Teil;the largest part
andere Länder Europas, vor allem nach Dänemark und Schweden;other European countries, especially Denmark and Sweden
Erfreulicherweise;fortunately / pleasingly
in China und Südkorea immer mehr Erfolg;increasingly more success in China and South Korea
eine Niederlassung in Shanghai;a branch in Shanghai
tollen Duscharmaturen mit der Funktion Wassersparen;great shower fittings with water-saving function
hier genauer erklären?;explain more precisely here?
